minority_ratio,separation,seed,ari
0.01,10.0,44,0.0015326528546580815
0.01,10.0,45,0.0015452676984283494
0.01,10.0,46,0.006903540584149254
0.01,10.0,47,0.10292896394006014
0.01,10.0,48,0.013988040223587402
0.01,10.0,49,0.00749363025587452
0.01,10.0,50,0.01520438796117749
0.01,10.0,51,0.012178342726581907
0.01,10.0,52,0.0020361671629745056
0.01,10.0,53,0.002955137238180446
0.01,10.0,54,0.0003588346557903619
0.01,10.0,55,-0.004614888243920165
0.01,10.0,56,0.003292193666269164
0.01,10.0,57,0.0008343462000378502
0.01,10.0,58,0.010882950652299108
0.01,10.0,59,0.003107576486179853
0.01,10.0,60,0.0023793715328918764
0.01,10.0,61,0.000508727747974112
0.01,10.0,62,0.0008149493994760558
0.01,10.0,63,-0.0014068639247084168
0.01,10.0,64,-0.00478500239833456
0.01,10.0,65,-0.000735686320865515
0.01,10.0,66,0.005514093276208475
0.01,12.0,42,0.09695228698278699
0.01,12.0,43,0.022750372339140512
0.01,12.0,44,0.002052332538584666
0.01,12.0,45,0.10866248609679321
0.01,12.0,46,0.00840320797552996
0.01,12.0,47,0.1064251983967766
0.01,12.0,48,0.014604088786123624
0.01,12.0,49,0.01058014637605071
0.01,12.0,50,0.0200138444645561
0.01,12.0,51,1.0
0.01,12.0,52,0.0025061827035251297
0.01,12.0,53,0.003771319436204111
0.01,12.0,54,0.0020133176650774308
0.01,12.0,55,-0.004416187954577472
0.01,12.0,56,0.0024012987958868235
0.01,12.0,57,0.0002093131267258657
0.01,12.0,58,0.016362091909655024
0.01,12.0,59,0.003413620633754803
0.01,12.0,60,0.002968292888352058
0.01,12.0,61,0.0007321432351582689
0.01,12.0,62,0.0007029360957582215
0.01,12.0,63,0.08608250415862202
0.01,12.0,64,-0.004467334027275594
0.01,12.0,65,-0.0003231836720792531
0.01,12.0,66,0.006917934607450661
0.02,0.5,42,0.00020384889408362071
0.02,0.5,43,7.669124215008458e-06
0.02,0.5,44,0.0003458311616092003
0.02,0.5,45,-0.00012164683501688704
0.02,0.5,46,-0.000324827033865163
0.02,0.5,47,0.0003782845491867978
0.02,0.5,48,-5.0807569522344707e-05
0.02,0.5,49,-0.00013415542496950306
0.02,0.5,50,-0.0004161101080889353
0.02,0.5,51,-3.4166716688453265e-05
0.02,0.5,52,-3.20558325093574e-05
0.02,0.5,53,0.00018100630970750245
0.02,0.5,54,-0.00029753844802391015
0.02,0.5,55,-7.035334389822203e-05
0.02,0.5,56,0.0005130045683007926
0.02,0.5,57,0.0005646322715410703
0.02,0.5,58,0.00015970866575114385
0.02,0.5,59,-0.0002556314144166597
0.02,0.5,60,-3.6157879843297857e-06
0.02,0.5,61,9.282899961196666e-05
0.02,0.5,62,0.00034691306184714385
0.02,0.5,63,0.00032731112684285365
0.02,0.5,64,0.0003190069215984745
0.02,0.5,65,-0.00018738972855790453
0.02,0.5,66,0.00030324144015688354
0.02,1.0,42,0.0005068146684402329
0.02,1.0,43,-7.555312071404127e-05
0.02,1.0,44,0.000606658672064966
0.02,1.0,45,2.860110835667587e-05
0.02,1.0,46,-0.0005166352136698694
0.02,1.0,47,0.000555555015579548
0.02,1.0,48,2.4594822661743583e-05
0.02,1.0,49,0.00014199056508498617
0.02,1.0,50,8.62460730297514e-05
0.02,1.0,51,-6.191828469310594e-05
0.02,1.0,52,-2.8460244660398253e-05
0.02,1.0,53,0.0004226634098534021
0.02,1.0,54,-0.0006565003412357614
0.02,1.0,55,0.0003737203322548117
0.02,1.0,56,0.001324763490136996
0.02,1.0,57,0.00152410356575644
0.02,1.0,58,0.0004404534243745531
0.02,1.0,59,-0.0004598088425027697
0.02,1.0,60,0.00029709092452234444
0.02,1.0,61,0.00020136029513943992
0.02,1.0,62,0.0010571540822319604
0.02,1.0,63,0.000981401349302988
0.02,1.0,64,0.0001655902127793797
0.02,1.0,65,-0.0003017198147383498
0.02,1.0,66,0.000631194665538486
0.02,2.0,42,0.001431645988719408
0.02,2.0,43,-4.618891613999711e-05
0.02,2.0,44,0.0011380551503676788
0.02,2.0,45,6.638929371301051e-05
0.02,2.0,46,-0.00016840644178839307
0.02,2.0,47,-0.000397674338712361
0.02,2.0,48,0.0017419839662142945
0.02,2.0,49,0.001771952193657874
0.02,2.0,50,0.0020029180997871887
0.02,2.0,51,0.0022655270928133558
0.02,2.0,52,0.0003778514346823065
0.02,2.0,53,0.0019211142529992203
0.02,2.0,54,0.00034314531699596766
0.02,2.0,55,0.0027631081459281903
0.02,2.0,56,0.0035675638142090653
0.02,2.0,57,0.00429963081662389
0.02,2.0,58,0.0011865284390908009
0.02,2.0,59,-0.0004558418034316365
0.02,2.0,60,0.0018776613925193036
0.02,2.0,61,0.00048361189420492343
0.02,2.0,62,0.002812849920512476
0.02,2.0,63,0.0021552179682770493
0.02,2.0,64,0.0017704890889465217
0.02,2.0,65,0.0009846673584579253
0.02,2.0,66,0.0019608176511439175
0.02,3.0,42,0.000449529335762919
0.02,3.0,43,0.0001604848412429212
0.02,3.0,44,0.0009945333519143162
0.02,3.0,45,0.0004950538910836851
0.02,3.0,46,0.001789059428283832
0.02,3.0,47,0.0007406651637298034
0.02,3.0,48,0.003100431996223142
0.02,3.0,49,0.003060272495495494
0.02,3.0,50,0.006402285518896428
0.02,3.0,51,0.0051203868812479065
0.02,3.0,52,0.0006886856154722523
0.02,3.0,53,0.0018304125007392884
0.02,3.0,54,0.002463168133333159
0.02,3.0,55,0.005510036964359589
0.02,3.0,56,0.0060624678984306036
0.02,3.0,57,0.003776613485476492
0.02,3.0,58,0.003091859408493484
0.02,3.0,59,0.0006624384721250718
0.02,3.0,60,0.0018708611462379065
0.02,3.0,61,0.0010518705495924678
0.02,3.0,62,0.0017052488108995202
0.02,3.0,63,0.00125601436576321
0.02,3.0,64,0.004396087041499946
0.02,3.0,65,0.0037659745625314997
0.02,3.0,66,0.001895061827957279
0.02,4.0,42,0.0005165557334214098
0.02,4.0,43,0.0002926357702836158
0.02,4.0,44,0.0002415697227548937
0.02,4.0,45,0.0006843050221290079
0.02,4.0,46,0.005739838097461362
0.02,4.0,47,0.0020409210095896396
0.02,4.0,48,0.01980832895306724
0.02,4.0,49,0.005555309908965456
0.02,4.0,50,0.003081057550831668
0.02,4.0,51,0.006722493131753394
0.02,4.0,52,0.0014607822553784355
0.02,4.0,53,0.0021734456037020462
0.02,4.0,54,0.005730126586268348
0.02,4.0,55,0.010415999407086754
0.02,4.0,56,0.014255406775937307
0.02,4.0,57,0.009071862612997889
0.02,4.0,58,0.005428233716562076
0.02,4.0,59,0.00035898574946320095
0.02,4.0,60,0.004041212776100657
0.02,4.0,61,0.001883400858772052
0.02,4.0,62,0.0027776355733411247
0.02,4.0,63,0.0011070822584599285
0.02,4.0,64,0.005568483901187126
0.02,4.0,65,0.004532417119666166
0.02,4.0,66,0.002683377036710668
0.02,6.0,42,0.0006436753089801115
0.02,6.0,43,0.0016497074020855327
0.02,6.0,44,0.0017661945001440748
0.02,6.0,45,0.012517083400300775
0.02,6.0,46,0.015029150534120574
0.02,6.0,47,0.004898298675729312
0.02,6.0,48,0.023855366020082182
0.02,6.0,49,0.00997566792273774
0.02,6.0,50,0.0014483427000937113
0.02,6.0,51,0.014051009454742752
0.02,6.0,52,0.0024449969604456636
0.02,6.0,53,0.003818869253884407
0.02,6.0,54,0.010295753536592529
0.02,6.0,55,0.02117736383577182
0.02,6.0,56,0.020206977789207332
0.02,6.0,57,0.029382074152747347
0.02,6.0,58,0.008632039261551656
0.02,6.0,59,0.00014158196300925987
0.02,6.0,60,0.013448725952490002
0.02,6.0,61,0.0019904019213287916
0.02,6.0,62,0.004999475606663521
0.02,6.0,63,0.000493727986980217
0.02,6.0,64,0.00867301891590879
0.02,6.0,65,0.004004614556245743
0.02,6.0,66,0.0030876596264740046
0.02,8.0,42,0.00027477734862006053
0.02,8.0,43,0.0017563771227071224
0.02,8.0,44,0.0005966584873655017
0.02,8.0,45,0.0010965641305760757
0.02,8.0,46,0.01982215553121016
0.02,8.0,47,0.003936146215276473
0.02,8.0,48,0.026257543018811724
0.02,8.0,49,0.011018765264157588
0.02,8.0,50,-0.0009221198630323113
0.02,8.0,51,0.022633165458916086
0.02,8.0,52,0.0036626493010236357
0.02,8.0,53,0.003967417459133058
0.02,8.0,54,0.014497535033465363
0.02,8.0,55,0.02569736266380922
0.02,8.0,56,0.016137465241822302
0.02,8.0,57,0.12522861233316565
0.02,8.0,58,0.01102759401904277
0.02,8.0,59,0.00012349828275713673
0.02,8.0,60,-0.005893394860198474
0.02,8.0,61,0.00362941626890772
0.02,8.0,62,0.006216698232465709
0.02,8.0,63,-0.00016653128763731718
0.02,8.0,64,0.1786488805984499
0.02,8.0,65,0.0009073869533042213
0.02,8.0,66,0.005014983039006034
0.02,10.0,42,0.0006865898091033705
0.02,10.0,43,0.004119771321007323
0.02,10.0,44,0.0006540846276410824
0.02,10.0,45,0.000814295271300735
0.02,10.0,46,0.024212199035881392
0.02,10.0,47,0.0040156261935240765
0.02,10.0,48,1.0
0.02,10.0,49,0.009044847551296444
0.02,10.0,50,-0.00041376315224639706
0.02,10.0,51,1.0
0.02,10.0,52,0.0036041879542332107
0.02,10.0,53,0.004318076568039654
0.02,10.0,54,0.01484149251769235
0.02,10.0,55,1.0
0.02,10.0,56,1.0
0.02,10.0,57,0.17168388216017566
0.02,10.0,58,0.012579838173947337
0.02,10.0,59,2.536133212352284e-05
0.02,10.0,60,-0.001481298889789475
0.02,10.0,61,0.009709654542495097
0.02,10.0,62,0.006590628837296711
0.02,10.0,63,-0.00012946352585025233
0.02,10.0,64,0.18181574759098648
0.02,10.0,65,-8.334834558544792e-05
0.02,10.0,66,0.005452010437821338
0.02,12.0,42,0.0019663391339188167
0.02,12.0,43,0.16778037612370558
0.02,12.0,44,0.0005557233286945778
0.02,12.0,45,0.00045602940342590997
0.02,12.0,46,0.025851459564356683
0.02,12.0,47,0.24245249759584014
0.02,12.0,48,1.0
0.02,12.0,49,0.008290647502257805
0.02,12.0,50,-0.00042251432199122185
0.02,12.0,51,1.0
0.02,12.0,52,0.0049431717277933695
0.02,12.0,53,0.0046721513955895475
0.02,12.0,54,0.014726561702601249
0.02,12.0,55,1.0
0.02,12.0,56,1.0
0.02,12.0,57,0.18395951391287368
0.02,12.0,58,0.01207897982106222
0.02,12.0,59,5.691358404059914e-05
0.02,12.0,60,0.00026209949068481045
0.02,12.0,61,0.18613944125824208
0.02,12.0,62,0.006293561166703055
0.02,12.0,63,0.00013503426925646743
0.02,12.0,64,0.17679493514091643
0.02,12.0,65,-0.0012547890208109002
0.02,12.0,66,0.007370575667914768
0.03,0.5,42,0.00016608812912407474
0.03,0.5,43,-2.1222887118613324e-05
0.03,0.5,44,0.0004772369625933543
0.03,0.5,45,5.2385863634027405e-05
0.03,0.5,46,-0.0005123530258480108
0.03,0.5,47,0.00023480184172193464
0.03,0.5,48,-0.00034273384106190855
0.03,0.5,49,7.497950194178043e-05
0.03,0.5,50,0.0005901095531964153
0.03,0.5,51,6.583721162304275e-05
0.03,0.5,52,0.00029506549688325634
0.03,0.5,53,0.0005311230939989439
0.03,0.5,54,-0.0005049527835067168
0.03,0.5,55,6.965173462357004e-05
0.03,0.5,56,0.0006425182476978073
0.03,0.5,57,0.0010803729881036874
0.03,0.5,58,-0.0005144154507359411
0.03,0.5,59,-0.0005067563434845002
0.03,0.5,60,2.5269326810940335e-05
0.03,0.5,61,0.00011104228187118713
0.03,0.5,62,0.0004132907961581285
0.03,0.5,63,0.0005815643780635696
0.03,0.5,64,7.983776239412663e-05
0.03,0.5,65,-0.00021206684877185368
0.03,0.5,66,0.0007953403415290326
0.03,1.0,42,0.00047562413449399576
0.03,1.0,43,-6.216938594457255e-05
0.03,1.0,44,0.0009324166615698934
0.03,1.0,45,6.717834401729679e-05
0.03,1.0,46,-8.463003727608015e-05
0.03,1.0,47,0.0015658340886722398
0.03,1.0,48,-0.0004541042818188867
0.03,1.0,49,0.0005606452756787073
0.03,1.0,50,0.0023355161111251297
0.03,1.0,51,0.0004838968086065681
0.03,1.0,52,0.00047138465608594424
0.03,1.0,53,0.0009563943851535354
0.03,1.0,54,-0.0008720149753356038
0.03,1.0,55,0.0009339658374532669
0.03,1.0,56,0.002127931738243401
0.03,1.0,57,0.002013066908077018
0.03,1.0,58,-3.3568697408290895e-05
0.03,1.0,59,-0.00035518725400310053
0.03,1.0,60,-0.00012856222300103095
0.03,1.0,61,9.222449148415427e-05
0.03,1.0,62,0.0012699960279170166
0.03,1.0,63,0.0017147424814576051
0.03,1.0,64,0.0007873632539311559
0.03,1.0,65,0.0011899306912844824
0.03,1.0,66,0.0016823531850810888
0.03,2.0,42,0.0026609637957808316
0.03,2.0,43,3.880631689226372e-06
0.03,2.0,44,0.0023762361420354454
0.03,2.0,45,1.8969313759662356e-05
0.03,2.0,46,0.003264096462865418
0.03,2.0,47,0.00021000900679561834
0.03,2.0,48,0.010162690139376488
0.03,2.0,49,0.0028279646606878634
0.03,2.0,50,0.003914158955123034
0.03,2.0,51,0.006729239921888484
0.03,2.0,52,0.0009862481182434434
0.03,2.0,53,0.0036801782254802383
0.03,2.0,54,0.0029155356894556075
0.03,2.0,55,0.005080770473567819
0.03,2.0,56,0.007286552751395223
0.03,2.0,57,0.005118220752828592
0.03,2.0,58,0.00280637977029564
0.03,2.0,59,0.00017969878647292742
0.03,2.0,60,0.0009118683854276854
0.03,2.0,61,6.721685862640342e-05
0.03,2.0,62,0.004124677321176595
0.03,2.0,63,0.004074573854540456
0.03,2.0,64,0.0035847530903527635
0.03,2.0,65,0.002592761033794531
0.03,2.0,66,0.0030561762841203165
0.03,3.0,42,0.001929153195665765
0.03,3.0,43,-1.1135012094450893e-05
0.03,3.0,44,0.0030264673699653922
0.03,3.0,45,3.236013769340721e-05
0.03,3.0,46,0.006915556193579365
0.03,3.0,47,0.001559266102520952
0.03,3.0,48,0.021609819988794493
0.03,3.0,49,0.002960718661233371
0.03,3.0,50,0.011209973355462028
0.03,3.0,51,0.019683898026785513
0.03,3.0,52,0.0030349305680487946
0.03,3.0,53,0.004919357894664789
0.03,3.0,54,0.006250985806825395
0.03,3.0,55,0.010224015146753244
0.03,3.0,56,0.014176839177742203
0.03,3.0,57,0.01142138785608917
0.03,3.0,58,0.00525919937712683
0.03,3.0,59,-0.00011164815961868491
0.03,3.0,60,0.003723207636957293
0.03,3.0,61,1.501045268223849e-05
0.03,3.0,62,0.0009220648629899863
0.03,3.0,63,0.00855152592071704
0.03,3.0,64,0.00848816545073876
0.03,3.0,65,0.006776727203912766
0.03,3.0,66,0.0035522048849279965
0.03,4.0,42,0.004477087139621986
0.03,4.0,43,0.0002595622397254319
0.03,4.0,44,0.003405731556624315
0.03,4.0,45,0.0001921715765735912
0.03,4.0,46,0.016589794326600103
0.03,4.0,47,0.006440044358743747
0.03,4.0,48,0.0243688354820354
0.03,4.0,49,0.0014080016192301451
0.03,4.0,50,0.002375304872374641
0.03,4.0,51,0.039310699584735036
0.03,4.0,52,0.0041113989134398355
0.03,4.0,53,0.007585652866540686
0.03,4.0,54,0.010555645382431391
0.03,4.0,55,0.015543221892690053
0.03,4.0,56,0.014976643130234805
0.03,4.0,57,0.015965898750373297
0.03,4.0,58,0.008191297236987277
0.03,4.0,59,-0.00024120761651451444
0.03,4.0,60,0.009216344790290109
0.03,4.0,61,0.00015904480267473295
0.03,4.0,62,0.021353736966618592
0.03,4.0,63,0.01763061487133552
0.03,4.0,64,0.011587048355988623
0.03,4.0,65,0.008168306878408044
0.03,4.0,66,0.0039551116479024755
0.03,6.0,42,0.004259123601168992
0.03,6.0,43,5.024549743481015e-05
0.03,6.0,44,0.005155626026898326
0.03,6.0,45,0.004232468757636043
0.03,6.0,46,0.026458337583603206
0.03,6.0,47,0.014192523689628516
0.03,6.0,48,0.030287177210664495
0.03,6.0,49,8.523956299976881e-05
0.03,6.0,50,0.0012009952732687024
0.03,6.0,51,-0.004917420476331084
0.03,6.0,52,0.007330799330512364
0.03,6.0,53,0.011367452509579424
0.03,6.0,54,0.01434233318752899
0.03,6.0,55,0.028228164676051756
0.03,6.0,56,0.010206959502634028
0.03,6.0,57,0.033129609635838816
0.03,6.0,58,0.008527548278076605
0.03,6.0,59,0.00044942472453546225
